JC,Arts,Science / IB
Anderson Serangoon Junior College (ASRJC),11,11
Anglo-Chinese Junior College (ACJC),9,8
Anglo-Chinese School (Independent) (ACS(I)),9,5
Catholic Junior College (CJC),13,13
Dunman High School (DHS),9,8
Eunoia Junior College (EJC),8,7
Hwa Chong Institution (HCI),5,4
Jurong Pioneer Junior College (JPJC),16,15
Millennia Institute (MI),6,6
Nanyang Junior College (NYJC),6,6
National Junior College (NJC),8,7
Raffles Institution (RI),5,4
River Valley Higher School (RVHS),9,8
St. Andrew’s Junior College (SAJC),11,10
St. Joseph’s Institution (SJI),8,8
Tampines Meridian Junior College (TMJC),13,13
Temasek Junior College (TJC),9,9
Victoria Junior College (VJC),8,7
Yishun Innova Junior College (YIJC),20,20
